"speciesName"
"Chroicocephalus cirrocephalus"
"Syzygium guineense"
"Terminalia albida"
"Terminalia macroptera"
"Tetracera potatoria"
"Utricularia gibba"
"Vitex doniana"
"Voacanga africana"
"Ximenia americana"
"Zanthoxylum leprieurii"
"Alternanthera sessilis"
"Amorphophallus baumannii"
"Andropogon auriculatus"
"Andropogon pseudapricus"
"Anthostema senegalense"
"Asparagus flagellaris"
"Aristida sieberiana"
"Baissea leonensis"
"Gomphrena vermicularis"
"Bridelia micrantha"
"Cassia sieberiana"
"Coelocaryon oxycarpum"
"Combretum adenogonium"
"Combretum nigricans"
"Ctenium newtonii"
"Dalbergia rufa"
"Detarium microcarpum"
"Diospyros elliotii"
"Dracaena mannii"
"Eragrostis tremula"
"Eriocaulon afzelianum"
"Erythrina senegalensis"
"Euphorbia macrophylla"
"Faidherbia albida"
"Ficus ottoniifolia"
"Ficus trichopoda"
"Hygrophila auriculata"
"Indigofera berhautiana"
"Lemna aequinoctialis"
"Limnophila barteri"
"Loudetia annua"
"Ludwigia stenorraphe"
"Melochia melissifolia"
"Melochia corchorifolia"
"Mimosa pigra"
"Ammannia crassicaulis"
"Panicum fluviicola"
"Paspalum scrobiculatum"
"Pentodon pentandrus"
"Perotis indica"
"Platycerium stemaria"
"Persicaria pulchra"
"Persicaria senegalensis"
"Polycarpon prostratum"
"Polygala lecardii"
"Psorospermum senegalense"
"Andropogon rupestris"
"Smeathmannia laevigata"
"Striga forbesii"
"Terminalia scutifera"
"Tetracera alnifolia"
"Typha domingensis"
"Xylopia aethiopica"
"Zanthoxylum zanthoxyloides"
"Ipomoea acanthocarpa"
"Polycarpaea eriantha"
"Schizachyrium pulchellum"
"Stylosanthes fruticosa"
"Trichanthecium tenellum"
"Hexasepalum serrulatum"
"Commelina gambiae"
"Aningeria pierrei"
"Crotalaria goreensis"
"Xyris anceps"
"Securidaca longepedunculata"
"Cenchrus pedicellatus"
"Buchnera hispida"
"Centotheca lappacea"
"Clerodendrum capitatum"
"Pterocarpus santalinoides"
"Polygala arenaria"
"Agama picticauda"
"Toxicodryas blandingii"
"Philothamnus irregularis"
"Physocephala gracilis"
"Ceriagrion glabrum"
